epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1174,2.13399,3.16011,2.07847,0.53062,0.10558,0.19531,0.07125,2.1876,2.9551,2.27098,0.00329218,0.00329218,0.00329218
2,79.1586,1.92069,2.23132,1.8043,0.58274,0.53534,0.47898,0.16982,2.19741,2.02878,2.05531,0.00659928,0.00659928,0.00659928
3,114.039,1.84797,2.01626,1.70532,0.50921,0.55198,0.44125,0.17647,2.05276,1.86349,1.87619,0.00987997,0.00987997,0.00987997
4,149.669,1.87116,1.90492,1.6975,0.42176,0.51959,0.42569,0.16412,2.26992,2.04356,1.97477,0.0098812,0.0098812,0.0098812
5,184.473,1.84328,1.81056,1.67489,0.47959,0.48252,0.41277,0.13976,2.21776,2.05137,1.88953,0.0098416,0.0098416,0.0098416
6,219.76,1.79444,1.73271,1.64016,0.50176,0.55207,0.50155,0.19942,2.01463,1.76315,1.82259,0.009802,0.009802,0.009802
7,254.388,1.76384,1.62397,1.60984,0.62259,0.63085,0.59023,0.26876,1.88289,1.57417,1.66458,0.0097624,0.0097624,0.0097624
8,289.808,1.73777,1.5906,1.59169,0.59856,0.69164,0.5979,0.24372,2.05401,1.69228,1.72257,0.0097228,0.0097228,0.0097228
9,324.964,1.70578,1.53019,1.56475,0.58997,0.68765,0.64626,0.2889,1.92894,1.60409,1.64424,0.0096832,0.0096832,0.0096832
10,359.844,1.67661,1.49225,1.54957,0.62693,0.68274,0.69051,0.32639,1.83405,1.36635,1.65838,0.0096436,0.0096436,0.0096436
11,395.09,1.65901,1.43065,1.53853,0.62589,0.76218,0.71917,0.35269,1.76975,1.20503,1.52793,0.009604,0.009604,0.009604
12,430.032,1.62979,1.40852,1.52101,0.67459,0.68207,0.68807,0.34169,1.68176,1.27916,1.52302,0.0095644,0.0095644,0.0095644
13,464.885,1.61244,1.37644,1.50342,0.63412,0.68687,0.67736,0.34002,1.74204,1.30628,1.54473,0.0095248,0.0095248,0.0095248
14,499.999,1.60584,1.36792,1.50423,0.60433,0.64011,0.63038,0.31175,1.71357,1.29531,1.52595,0.0094852,0.0094852,0.0094852
15,535.013,1.56,1.3212,1.48004,0.63576,0.57136,0.63733,0.28797,1.87775,1.45417,1.65227,0.0094456,0.0094456,0.0094456
16,570.523,1.55106,1.2896,1.46927,0.63734,0.73531,0.70397,0.37043,1.80744,1.22827,1.57897,0.009406,0.009406,0.009406
17,605.702,1.54805,1.27549,1.46094,0.64451,0.69723,0.69123,0.34699,1.71155,1.20401,1.51146,0.0093664,0.0093664,0.0093664
18,641.022,1.52334,1.24715,1.4415,0.68181,0.72029,0.7282,0.37982,1.6883,1.16913,1.52374,0.0093268,0.0093268,0.0093268
19,676.023,1.51891,1.25015,1.44313,0.72894,0.62361,0.69957,0.35182,1.75007,1.187,1.55783,0.0092872,0.0092872,0.0092872
20,711.451,1.50275,1.23706,1.44116,0.72084,0.62726,0.72332,0.37161,1.70089,1.1786,1.50354,0.0092476,0.0092476,0.0092476
21,746.598,1.49045,1.19648,1.42465,0.68416,0.71962,0.73721,0.4153,1.58334,1.10053,1.45897,0.009208,0.009208,0.009208
22,782.227,1.47448,1.18499,1.41235,0.71949,0.69779,0.75701,0.39384,1.65817,1.04817,1.46776,0.0091684,0.0091684,0.0091684
23,817.82,1.46918,1.17061,1.41034,0.65952,0.71208,0.72346,0.38122,1.74053,1.13526,1.543,0.0091288,0.0091288,0.0091288
24,852.951,1.44534,1.17777,1.40659,0.7154,0.74517,0.74232,0.40576,1.63052,1.07282,1.48031,0.0090892,0.0090892,0.0090892
25,888.389,1.44409,1.13478,1.39855,0.69529,0.72928,0.7546,0.4056,1.68698,1.15222,1.53061,0.0090496,0.0090496,0.0090496
26,924.656,1.43124,1.14361,1.39914,0.70489,0.70899,0.75256,0.42903,1.60672,1.0634,1.48674,0.00901,0.00901,0.00901
27,959.58,1.42697,1.11695,1.38584,0.71813,0.71009,0.76645,0.43655,1.6017,1.03591,1.4717,0.0089704,0.0089704,0.0089704
28,995.305,1.40904,1.10538,1.37644,0.70807,0.78163,0.78004,0.45068,1.53742,1.01318,1.43596,0.0089308,0.0089308,0.0089308
29,1031.33,1.39894,1.07249,1.35784,0.71814,0.67598,0.71443,0.38933,1.67603,1.12264,1.45922,0.0088912,0.0088912,0.0088912
30,1067.28,1.38679,1.07907,1.35327,0.71531,0.74708,0.77601,0.43793,1.59729,0.9688,1.46666,0.0088516,0.0088516,0.0088516
31,1102.57,1.39239,1.06642,1.35575,0.77221,0.72974,0.78827,0.43327,1.5977,0.9602,1.46357,0.008812,0.008812,0.008812
32,1138.72,1.39513,1.08177,1.36654,0.7005,0.75027,0.77494,0.43771,1.5923,1.00298,1.44658,0.0087724,0.0087724,0.0087724
33,1174.36,1.37155,1.05067,1.34763,0.6863,0.72466,0.76043,0.42697,1.59278,1.10194,1.50476,0.0087328,0.0087328,0.0087328
34,1209.01,1.36167,1.02938,1.33913,0.7184,0.70713,0.76075,0.44444,1.47701,1.09144,1.39427,0.0086932,0.0086932,0.0086932
35,1244.31,1.35672,1.04623,1.34229,0.70663,0.6996,0.75637,0.43246,1.5464,1.0713,1.45693,0.0086536,0.0086536,0.0086536
36,1280.03,1.35404,1.04469,1.34489,0.68108,0.71861,0.73939,0.40579,1.61334,1.02794,1.47759,0.008614,0.008614,0.008614
37,1315.42,1.34171,1.03817,1.32805,0.66568,0.69902,0.73219,0.42117,1.6136,1.15039,1.49868,0.0085744,0.0085744,0.0085744
38,1350.66,1.32695,1.02429,1.32614,0.66749,0.74302,0.73667,0.41948,1.62916,1.10303,1.51268,0.0085348,0.0085348,0.0085348
39,1386.36,1.34761,1.02012,1.32759,0.71825,0.73834,0.78104,0.43618,1.56086,0.99579,1.43865,0.0084952,0.0084952,0.0084952
40,1421.29,1.31591,0.98258,1.31281,0.73649,0.73874,0.78214,0.44872,1.62066,0.983,1.497,0.0084556,0.0084556,0.0084556
41,1456.86,1.30734,0.9814,1.30856,0.67745,0.74954,0.76369,0.42571,1.60141,1.07212,1.49424,0.008416,0.008416,0.008416
42,1491.8,1.3058,0.9914,1.30935,0.75061,0.75091,0.79813,0.48189,1.50809,0.92836,1.40164,0.0083764,0.0083764,0.0083764
43,1527.41,1.30516,0.98704,1.31106,0.66254,0.73151,0.7408,0.39795,1.64036,1.15196,1.50091,0.0083368,0.0083368,0.0083368
44,1564.58,1.28031,0.95186,1.29259,0.73993,0.76775,0.78795,0.43923,1.60853,0.95638,1.48939,0.0082972,0.0082972,0.0082972
45,1599.86,1.28134,0.97917,1.30035,0.73248,0.76339,0.78782,0.43167,1.64794,0.93814,1.49208,0.0082576,0.0082576,0.0082576
46,1635.34,1.28373,0.94561,1.29169,0.72517,0.74159,0.76561,0.42841,1.63764,1.05546,1.50146,0.008218,0.008218,0.008218
47,1671.52,1.28576,0.96052,1.29336,0.69295,0.75897,0.779,0.45188,1.55703,0.98657,1.45137,0.0081784,0.0081784,0.0081784
48,1707.06,1.27839,0.95546,1.29502,0.79194,0.62852,0.72901,0.41976,1.58577,1.13287,1.48626,0.0081388,0.0081388,0.0081388
49,1742.57,1.27407,0.94549,1.28373,0.69603,0.74525,0.75727,0.4486,1.51247,1.05517,1.41654,0.0080992,0.0080992,0.0080992
50,1777.55,1.26208,0.94004,1.28336,0.7124,0.68254,0.73386,0.45639,1.47295,1.20878,1.39865,0.0080596,0.0080596,0.0080596
51,1812.72,1.25372,0.93776,1.28077,0.70882,0.74443,0.7752,0.46867,1.48177,0.95591,1.41168,0.00802,0.00802,0.00802
52,1847.83,1.23897,0.92756,1.26993,0.74356,0.73411,0.77752,0.46208,1.52895,0.96525,1.43413,0.0079804,0.0079804,0.0079804
53,1883.57,1.23559,0.91239,1.26802,0.71821,0.69842,0.75179,0.45471,1.45437,1.15196,1.39211,0.0079408,0.0079408,0.0079408
54,1919.17,1.2317,0.91732,1.26335,0.69729,0.6667,0.71631,0.43189,1.51478,1.23561,1.42959,0.0079012,0.0079012,0.0079012
55,1954.99,1.24222,0.92129,1.27492,0.75451,0.65581,0.73664,0.4415,1.53599,1.16136,1.45684,0.0078616,0.0078616,0.0078616
56,1990.33,1.22243,0.89954,1.25919,0.80003,0.64728,0.75301,0.43967,1.56542,1.06848,1.4767,0.007822,0.007822,0.007822
57,2026.65,1.23343,0.90701,1.2625,0.75501,0.77574,0.79611,0.48092,1.48334,0.9372,1.43927,0.0077824,0.0077824,0.0077824
58,2062.06,1.23316,0.91051,1.26415,0.75659,0.7059,0.77012,0.46539,1.49587,0.99296,1.4542,0.0077428,0.0077428,0.0077428
